Iteration,CurrentTemperature,TotalHPWL
0,87500,182
1,83125,155
2,78968.8,164
3,75020.3,191
4,71269.3,172
5,67705.8,173
6,64320.5,179
7,61104.5,179
8,58049.3,158
9,55146.8,191
10,52389.5,154
11,49770,171
12,47281.5,172
13,44917.4,193
14,42671.6,159
15,40538,159
16,38511.1,173
17,36585.5,169
18,34756.3,167
19,33018.4,179
20,31367.5,171
21,29799.1,179
22,28309.2,170
23,26893.7,163
24,25549,180
25,24271.6,171
26,23058,164
27,21905.1,181
28,20809.9,143
29,19769.4,175
30,18780.9,151
31,17841.8,151
32,16949.8,180
33,16102.3,171
34,15297.2,182
35,14532.3,179
36,13805.7,175
37,13115.4,176
38,12459.6,167
39,11836.6,159
40,11244.8,175
41,10682.6,173
42,10148.4,176
43,9641.02,169
44,9158.97,175
45,8701.02,171
46,8265.97,173
47,7852.67,190
48,7460.04,180
49,7087.04,157
50,6732.69,167
51,6396.05,156
52,6076.25,163
53,5772.44,172
54,5483.81,164
55,5209.62,166
56,4949.14,169
57,4701.69,163
58,4466.6,162
59,4243.27,162
60,4031.11,174
61,3829.55,167
62,3638.07,175
63,3456.17,185
64,3283.36,158
65,3119.19,158
66,2963.23,171
67,2815.07,161
68,2674.32,185
69,2540.6,190
70,2413.57,175
71,2292.89,178
72,2178.25,150
73,2069.34,176
74,1965.87,173
75,1867.58,195
76,1774.2,171
77,1685.49,137
78,1601.21,168
79,1521.15,163
80,1445.1,179
81,1372.84,198
82,1304.2,176
83,1238.99,162
84,1177.04,175
85,1118.19,167
86,1062.28,162
87,1009.16,159
88,958.706,170
89,910.77,179
90,865.232,174
91,821.97,155
92,780.872,188
93,741.828,176
94,704.737,170
95,669.5,179
96,636.025,160
97,604.224,158
98,574.013,177
99,545.312,170
100,518.046,161
101,492.144,193
102,467.537,162
103,444.16,169
104,421.952,179
105,400.854,164
106,380.812,174
107,361.771,180
108,343.683,199
109,326.498,173
110,310.173,169
111,294.665,190
112,279.932,167
113,265.935,177
114,252.638,182
115,240.006,176
116,228.006,155
117,216.606,179
118,205.775,183
119,195.487,178
120,185.712,160
