Iteration,CurrentTemperature,TotalHPWL
0,2.3045e+07,45039
1,2.18928e+07,45384
2,2.07981e+07,45694
3,1.97582e+07,45913
4,1.87703e+07,46689
5,1.78318e+07,45264
6,1.69402e+07,45797
7,1.60932e+07,46127
8,1.52885e+07,44762
9,1.45241e+07,45461
10,1.37979e+07,46422
11,1.3108e+07,46517
12,1.24526e+07,47174
13,1.183e+07,44600
14,1.12385e+07,45257
15,1.06765e+07,44842
16,1.01427e+07,45402
17,9.63558e+06,45155
18,9.1538e+06,45568
19,8.69611e+06,45191
20,8.26131e+06,45850
21,7.84824e+06,45003
22,7.45583e+06,47086
23,7.08304e+06,45589
24,6.72889e+06,45946
25,6.39244e+06,45201
26,6.07282e+06,46951
27,5.76918e+06,44977
28,5.48072e+06,45950
29,5.20668e+06,46021
30,4.94635e+06,45800
31,4.69903e+06,45329
32,4.46408e+06,44186
33,4.24088e+06,46735
34,4.02883e+06,44927
35,3.82739e+06,45128
36,3.63602e+06,46370
37,3.45422e+06,45426
38,3.28151e+06,46672
39,3.11743e+06,46401
40,2.96156e+06,45643
41,2.81348e+06,46142
42,2.67281e+06,45016
43,2.53917e+06,45597
44,2.41221e+06,45794
45,2.2916e+06,45228
46,2.17702e+06,46321
47,2.06817e+06,45423
48,1.96476e+06,45018
49,1.86652e+06,44826
50,1.7732e+06,45415
51,1.68454e+06,44640
52,1.60031e+06,46293
53,1.52029e+06,46435
54,1.44428e+06,44808
55,1.37207e+06,45467
56,1.30346e+06,46124
57,1.23829e+06,45780
58,1.17638e+06,46037
59,1.11756e+06,46247
60,1.06168e+06,46209
61,1.00859e+06,46931
62,958165,45785
63,910257,45368
64,864744,46789
65,821507,45457
66,780431,45458
67,741410,45560
68,704339,44540
69,669122,45281
70,635666,44587
71,603883,45434
72,573689,46250
73,545004,46645
74,517754,45965
75,491866,46547
76,467273,44927
77,443909,45689
78,421714,45611
79,400628,45230
80,380597,45263
81,361567,45325
82,343489,45633
83,326314,46122
84,309998,45501
85,294499,45603
86,279774,46483
87,265785,45880
88,252496,46445
89,239871,45976
90,227877,46567
91,216483,45617
92,205659,46623
93,195376,44296
94,185608,46104
95,176327,45472
96,167511,45276
97,159135,46126
98,151178,45580
99,143620,45633
100,136439,45599
101,129617,45303
102,123136,46079
103,116979,46468
104,111130,45623
105,105574,46650
106,100295,46332
107,95280.2,45505
108,90516.2,45644
109,85990.3,45467
110,81690.8,44419
111,77606.3,46967
112,73726,44926
113,70039.7,46878
114,66537.7,45507
115,63210.8,45533
116,60050.3,46478
117,57047.8,45638
118,54195.4,45915
119,51485.6,46780
120,48911.3,45209
121,46465.8,46037
122,44142.5,45363
123,41935.3,46566
124,39838.6,46707
125,37846.6,45647
126,35954.3,45728
127,34156.6,44978
128,32448.8,45705
129,30826.3,44860
130,29285,45379
131,27820.8,44784
132,26429.7,46218
133,25108.2,45451
134,23852.8,47527
135,22660.2,44544
136,21527.2,45632
137,20450.8,45732
138,19428.3,45383
139,18456.9,44038
140,17534,45587
141,16657.3,45465
142,15824.5,46442
143,15033.2,45942
144,14281.6,45573
145,13567.5,45272
146,12889.1,44728
147,12244.7,44918
148,11632.4,45632
149,11050.8,47278
150,10498.3,44774
151,9973.35,46296
152,9474.68,45789
153,9000.95,46761
154,8550.9,45393
155,8123.36,45141
156,7717.19,44870
157,7331.33,46629
158,6964.76,45349
159,6616.52,44592
160,6285.7,44072
161,5971.41,46927
162,5672.84,44364
163,5389.2,46708
164,5119.74,44982
165,4863.75,45444
166,4620.57,47628
167,4389.54,45093
168,4170.06,45278
169,3961.56,45497
170,3763.48,46305
171,3575.31,45583
172,3396.54,46378
173,3226.71,44774
174,3065.38,46462
175,2912.11,45337
176,2766.5,45167
177,2628.18,45148
178,2496.77,45590
179,2371.93,45602
180,2253.33,44974
181,2140.67,46279
182,2033.63,45162
183,1931.95,46180
184,1835.36,44344
185,1743.59,45777
186,1656.41,44387
187,1573.59,43728
188,1494.91,46271
189,1420.16,45746
190,1349.15,46105
191,1281.7,45551
192,1217.61,45589
193,1156.73,45794
194,1098.89,45902
195,1043.95,43725
196,991.753,45306
197,942.165,44696
198,895.057,44452
199,850.304,46001
200,807.789,44520
201,767.399,46302
202,729.029,45266
203,692.578,45160
204,657.949,45823
205,625.051,45221
206,593.799,45356
207,564.109,44521
208,535.904,45820
209,509.108,46541
210,483.653,45343
211,459.47,44818
