Iteration,CurrentTemperature,TotalHPWL
0,49000,110
1,46550,89
2,44222.5,103
3,42011.4,87
4,39910.8,73
5,37915.3,92
6,36019.5,93
7,34218.5,99
8,32507.6,84
9,30882.2,91
10,29338.1,73
11,27871.2,96
12,26477.6,93
13,25153.8,96
14,23896.1,85
15,22701.3,91
16,21566.2,86
17,20487.9,99
18,19463.5,91
19,18490.3,83
20,17565.8,93
21,16687.5,95
22,15853.1,92
23,15060.5,83
24,14307.5,95
25,13592.1,92
26,12912.5,91
27,12266.9,94
28,11653.5,98
29,11070.8,98
30,10517.3,96
31,9991.43,95
32,9491.86,84
33,9017.27,74
34,8566.41,103
35,8138.09,92
36,7731.18,106
37,7344.62,89
38,6977.39,97
39,6628.52,98
40,6297.1,87
41,5982.24,82
42,5683.13,88
43,5398.97,94
44,5129.02,82
45,4872.57,94
46,4628.94,95
47,4397.5,108
48,4177.62,93
49,3968.74,78
50,3770.3,100
51,3581.79,83
52,3402.7,97
53,3232.56,87
54,3070.94,91
55,2917.39,88
56,2771.52,96
57,2632.94,93
58,2501.3,85
59,2376.23,88
60,2257.42,96
61,2144.55,89
62,2037.32,102
63,1935.46,94
64,1838.68,97
65,1746.75,91
66,1659.41,100
67,1576.44,108
68,1497.62,100
69,1422.74,95
70,1351.6,81
71,1284.02,101
72,1219.82,87
73,1158.83,93
74,1100.89,92
75,1045.84,84
76,993.551,96
77,943.873,94
78,896.68,65
79,851.846,103
80,809.253,106
81,768.791,88
82,730.351,92
83,693.834,101
84,659.142,89
85,626.185,85
86,594.876,103
87,565.132,86
88,536.875,83
89,510.031,93
90,484.53,98
91,460.303,92
92,437.288,99
93,415.424,101
94,394.653,85
95,374.92,85
96,356.174,89
97,338.365,117
98,321.447,95
99,305.375,85
100,290.106,85
101,275.601,104
102,261.821,104
103,248.73,90
104,236.293,87
105,224.478,93
106,213.255,66
107,202.592,85
108,192.462,93
109,182.839,97
110,173.697,86
111,165.012,89
112,156.762,77
113,148.924,89
114,141.477,102
115,134.404,95
116,127.683,97
117,121.299,99
118,115.234,104
119,109.473,101
120,103.999,78
121,98.7989,80
122,93.859,87
123,89.1661,82
124,84.7077,83
125,80.4724,87
126,76.4487,83
127,72.6263,83
128,68.995,86
129,65.5452,80
130,62.268,91
131,59.1546,83
132,56.1969,77
133,53.387,78
134,50.7177,85
135,48.1818,78
136,45.7727,98
137,43.4841,94
138,41.3098,81
139,39.2444,99
140,37.2821,79
141,35.418,106
142,33.6471,83
143,31.9648,84
144,30.3665,87
145,28.8482,84
146,27.4058,78
147,26.0355,94
148,24.7337,107
149,23.497,97
150,22.3222,104
151,21.2061,76
152,20.1458,76
153,19.1385,101
154,18.1816,88
155,17.2725,76
156,16.4089,88
157,15.5884,85
158,14.809,91
159,14.0685,82
160,13.3651,67
161,12.6969,82
162,12.062,87
163,11.4589,92
164,10.886,80
165,10.3417,82
166,9.82459,76
167,9.33336,85
168,8.86669,88
169,8.42336,92
170,8.00219,89
171,7.60208,83
172,7.22198,84
173,6.86088,78
174,6.51784,75
175,6.19194,84
176,5.88235,71
177,5.58823,76
178,5.30882,75
179,5.04338,73
180,4.79121,77
181,4.55165,70
182,4.32407,88
183,4.10786,68
184,3.90247,76
185,3.70735,73
186,3.52198,80
187,3.34588,60
188,3.17859,78
189,3.01966,77
190,2.86867,73
191,2.72524,67
192,2.58898,69
193,2.45953,68
194,2.33655,75
195,2.21972,63
196,2.10874,66
197,2.0033,61
198,1.90314,60
199,1.80798,58
200,1.71758,63
201,1.6317,67
202,1.55012,64
203,1.47261,62
204,1.39898,70
205,1.32903,57
206,1.26258,60
207,1.19945,63
208,1.13948,63
209,1.0825,51
210,1.02838,54
211,0.97696,56
212,0.928112,57
213,0.881706,56
214,0.837621,46
215,0.79574,48
216,0.755953,44
217,0.718155,47
218,0.682248,47
219,0.648135,46
220,0.615728,47
221,0.584942,47
222,0.555695,46
223,0.52791,47
224,0.501515,46
225,0.476439,43
226,0.452617,40
227,0.429986,37
228,0.408487,37
229,0.388063,37
230,0.368659,42
231,0.350226,40
232,0.332715,39
233,0.316079,37
234,0.300275,37
235,0.285262,37
236,0.270999,38
237,0.257449,37
238,0.244576,37
239,0.232347,36
240,0.22073,36
241,0.209693,36
242,0.199209,36
243,0.189248,35
244,0.179786,35
245,0.170797,35
246,0.162257,35
247,0.154144,35
248,0.146437,35
249,0.139115,36
250,0.132159,35
251,0.125551,35
252,0.119274,35
253,0.11331,35
254,0.107644,35
255,0.102262,35
256,0.0971492,35
257,0.0922917,35
258,0.0876771,35
259,0.0832933,35
260,0.0791286,35
261,0.0751722,35
262,0.0714136,35
263,0.0678429,35
264,0.0644507,35
265,0.0612282,35
266,0.0581668,35
267,0.0552584,35
268,0.0524955,35
269,0.0498708,35
270,0.0473772,35
271,0.0450084,35
272,0.0427579,35
273,0.04062,35
274,0.038589,35
275,0.0366596,35
276,0.0348266,35
277,0.0330853,35
278,0.031431,35
279,0.0298595,35
280,0.0283665,35
281,0.0269482,35
282,0.0256008,35
283,0.0243207,35
284,0.0231047,35
285,0.0219494,35
286,0.020852,35
287,0.0198094,35
288,0.0188189,35
289,0.017878,35
290,0.0169841,35
291,0.0161349,35
292,0.0153281,35
293,0.0145617,35
294,0.0138336,35
295,0.0131419,35
296,0.0124848,35
297,0.0118606,35
298,0.0112676,35
299,0.0107042,35
300,0.010169,35
301,0.00966054,35
302,0.00917751,35
303,0.00871863,35
304,0.0082827,35
305,0.00786857,35
306,0.00747514,35
307,0.00710138,35
308,0.00674631,35
309,0.006409,35
310,0.00608855,35
311,0.00578412,35
312,0.00549491,35
313,0.00522017,35
314,0.00495916,35
315,0.0047112,35
316,0.00447564,35
317,0.00425186,35
318,0.00403927,35
319,0.0038373,35
320,0.00364544,35
321,0.00346317,35
322,0.00329001,35
323,0.00312551,35
324,0.00296923,35
325,0.00282077,35
326,0.00267973,35
327,0.00254575,35
328,0.00241846,35
329,0.00229754,35
330,0.00218266,35
331,0.00207353,35
332,0.00196985,35
333,0.00187136,35
334,0.00177779,35
335,0.0016889,35
336,0.00160445,35
337,0.00152423,35
338,0.00144802,35
339,0.00137562,35
340,0.00130684,35
341,0.0012415,35
342,0.00117942,35
343,0.00112045,35
344,0.00106443,35
345,0.00101121,35
346,0.000960646,35
347,0.000912614,35
348,0.000866983,35
349,0.000823634,35
350,0.000782452,35
351,0.00074333,35
352,0.000706163,35
353,0.000670855,35
354,0.000637312,35
355,0.000605447,35
356,0.000575174,35
357,0.000546416,35
358,0.000519095,35
359,0.00049314,35
360,0.000468483,35
361,0.000445059,35
362,0.000422806,35
363,0.000401666,35
364,0.000381582,35
365,0.000362503,35
366,0.000344378,35
367,0.000327159,35
368,0.000310801,35
369,0.000295261,35
370,0.000280498,35
371,0.000266473,35
372,0.00025315,35
373,0.000240492,35
374,0.000228468,35
375,0.000217044,35
376,0.000206192,35
377,0.000195882,38
378,0.000186088,36
379,0.000176784,36
380,0.000167945,36
381,0.000159547,36
382,0.00015157,36
383,0.000143992,36
384,0.000136792,36
385,0.000129952,36
386,0.000123455,36
387,0.000117282,36
388,0.000111418,36
389,0.000105847,36
390,0.000100555,36
391,9.55269e-05,36
392,9.07506e-05,36
393,8.6213e-05,36
394,8.19024e-05,36
395,7.78073e-05,36
396,7.39169e-05,36
397,7.02211e-05,36
398,6.671e-05,36
399,6.33745e-05,36
400,6.02058e-05,36
401,5.71955e-05,36
402,5.43357e-05,36
403,5.16189e-05,36
404,4.9038e-05,36
405,4.65861e-05,36
406,4.42568e-05,36
407,4.20439e-05,36
408,3.99417e-05,36
409,3.79447e-05,36
410,3.60474e-05,36
411,3.42451e-05,36
412,3.25328e-05,36
413,3.09062e-05,36
