Iteration,CurrentTemperature,TotalHPWL
0,3.4075e+06,6849
1,3.23712e+06,6988
2,3.07527e+06,6941
3,2.92151e+06,6762
4,2.77543e+06,6776
5,2.63666e+06,6958
6,2.50483e+06,6827
7,2.37958e+06,6702
8,2.26061e+06,6935
9,2.14757e+06,6869
10,2.0402e+06,6838
11,1.93819e+06,6898
12,1.84128e+06,7024
13,1.74921e+06,6888
14,1.66175e+06,6941
15,1.57866e+06,6794
16,1.49973e+06,6805
17,1.42475e+06,6871
18,1.35351e+06,6902
19,1.28583e+06,6863
20,1.22154e+06,6946
21,1.16046e+06,6878
22,1.10244e+06,6758
23,1.04732e+06,6830
24,994953,6933
25,945205,6907
26,897945,6907
27,853047,7113
28,810395,7080
29,769875,7060
30,731382,6778
31,694813,6926
32,660072,6905
33,627068,6793
34,595715,6730
35,565929,6833
36,537633,6868
37,510751,6994
38,485213,7067
39,460953,6894
40,437905,6807
41,416010,7001
42,395209,6722
43,375449,7110
44,356677,6838
45,338843,6785
46,321901,6917
47,305806,6923
48,290515,6922
49,275989,6673
50,262190,6983
51,249081,6961
52,236626,6931
53,224795,6847
54,213555,7005
55,202878,6678
56,192734,6929
57,183097,7043
58,173942,6965
59,165245,6771
60,156983,6947
61,149134,6812
62,141677,7027
63,134593,6897
64,127864,6952
65,121470,7020
66,115397,6781
67,109627,7038
68,104146,6891
69,98938.3,6996
70,93991.4,6810
71,89291.9,6729
72,84827.3,6758
73,80585.9,6978
74,76556.6,6873
75,72728.8,7002
76,69092.3,6679
77,65637.7,6869
78,62355.8,6858
79,59238,6781
80,56276.1,6844
81,53462.3,7271
82,50789.2,6688
83,48249.8,6932
84,45837.3,6878
85,43545.4,6909
86,41368.1,6950
87,39299.7,6855
88,37334.7,6853
89,35468,6873
90,33694.6,6995
91,32009.9,6814
92,30409.4,6873
93,28888.9,6925
94,27444.5,7381
95,26072.2,6778
96,24768.6,6979
97,23530.2,7015
98,22353.7,6712
99,21236,7028
100,20174.2,6992
101,19165.5,7131
102,18207.2,6993
103,17296.9,7098
104,16432,6943
105,15610.4,6987
106,14829.9,7040
107,14088.4,6941
108,13384,6974
109,12714.8,7070
110,12079,6883
111,11475.1,6834
112,10901.3,6756
113,10356.3,6918
114,9838.45,6786
115,9346.53,6908
116,8879.2,6921
117,8435.24,6705
118,8013.48,6942
119,7612.81,6787
